fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Jerry,Mancey,F,208,550-7907,CONDA,ID,83230,M,N,85000,7.8,0,6600,0,8589953796
Jiafu,Tsumoto,F,903,417-9669,WESTHOFF,TX,77994,M,rY,25000,0,0,0,0,8589954009
Jiajie,Pohm,M,731,194-3404,WINCHESTER,TN,37398,M,N,55000,0,0,0,0,8589954043
Jiakeng,Baaz,F,304,736-1475,STOLLINGS,WV,25646,S,Y,80000***,6.5,2000,0,2000,8589954071
Jianan,Lobjois,M,913,870-4568,MOUND CITY,KS,66056,S,Y,15000,3.5,2250,0,2250,8589954133
Jianghong,Willcock,F,352,563-7924,ORLANDO,FL,32818,S,Y,80000,0,0,0,0,8589954271
Jianjun,Geske,F,603,416-5687,BARNSTEAD,NH,3218,S,Y,40000,0,0,0,0,8589954411
Jiawan,Ade,F,479,550-2244,GILBERT,AR,72636,M,Y,55000,7,0,40,20,8589954827
Jihie,Pinzani,M,808,789-6202,MILILANI,HI,96789,M,N,90000,8.25,0,2080,0,8589955120
Jimena,Bentaleb,F,812,298-5169,CHALMERS,IN,47929,S,N,20000,3.4,1000,0,0,8589955260
Jimmie,Bodek,F,308,767-5885,BARTLETT,NE,68622,M,Y,35000,6.84,0,206,103,8589955322
Jinjoo,Marcellin,M,775,162-5362,GERLACH,NV,89412,M,N,55000,0,0,0,0,8589955723
Jinshi,Corless,F,253,754-2365,FEDERAL WAY,WA,98023,S,Y,40000,0,0,0,0,8589955835
Jinxin,Pittarelil,M,603,696-8261,HOOKSETT,NH,3106,M,N,30000,0,0,0,0,8589955995
Jitian,Kottmann,F,918,699-8192,TULSA,K,74187,S,Y,85000,6.25,1000,0,1000,8589956266
Job,Baatz,fM,302,998-3891,MILLSBORO,DE,19966,S,N,45000,4.927273,110,0,0,8589956802
Jocob,Kaelbling,M,217,357-6480,HENDERSON,IL,61439,S,Y,85000,3,2000,0,2000,8589956931
Joep,Martelli,F,802,882-4166,CABOT,VT,5647,M,N,35000,3.7014668,0,6600,0,8589957047
Joford,McMorris,F,808,706-5175,HAKALAU,HI,96710,S,Y,35000,7.3486843,1040,0,1040,8589957146
Johanna,Suter,M,701,440-7243,WILLOW CITY,ND,58384,M,N,35000,2.161439,0,6600,0,8589957266
Jongho,Loganantharaj,F,660,251-8274,LAQUEY,MO,65534,S,N,50000,6,2100,0,0,8589957765
Joo,Treble,M,952,965-4084,HOLDINGFORD,MN,56340,M,Y,15000,5.35,0,6600,3300,8589957991
Josette,Chickermane,M,520,946-2129,ELGIN,AZ,85611,M,Y,75000,3.8775,0,4200,2300,8589958665
Jouko,Lunn,M,608,333-1345,WESTFIELD,WI,53964,S,Y,70000,5.6626635,700,0,400,8589958830
Judith,Giger,F,202,900-3202,WASHINGTON,DC,20301,S,N,85000,9,1370,0,0,8589959339
Juhana,Skeel,F,603,754-8486,BERLIN,NH,3570,M,N,20000,0,0,0,0,8589959420
Juichi,Birdsall,M,609,713-2821,POTTERSVILLE,NJ,7979,S,N,45000,1.7942708,1000,0,0,8589959560
Juichi,Gimarc,M,605,757-3748,PUKWANA,SD,57370,S,N,75000,0,0,0,0,8589959572
Junehwa,Hoderlein,M,563,139-1210,REASNOR,IA,50232,S,Y,10000,1.7078737,40,0,40,8589959800
Junro,Wohlfarth,F,787,831-2238,CABO ROJO,PR,623,M,Y,40000,0,0,0,0,8589960135
Juregn,Carroll,F,202,986-7768,WASHINGTON NAVY YARD,DC,20398,S,N,5000,4.5,1370,0,0,8589960297
Jurgen,Katzenberg,M,401,383-3807,PROVIDENCE,RI,2909,M,Y,85000,0,0,0,0,8589960368
Juri,Kessler,M,207,238-1370,HANCOCK,ME,4640,M,N,25000,8.5,0,5700,0,8589960381
Justin,Seipel,M,917,262-2648,WURTSBORO,NY,12790,S,Y,10000,4.011585,0,0,1000,8589960522
Kacem,Schank,M,256,199-8881,VREDENBURGH,AL,36481,M,Y,50000,5,0,3000,300,8589960894
Kalervo,Cichosz,M,865,814-2803,NASHVILLE,TN,37215,S,N,95000,0,0,0,0,8589961367
Kalle,Oogane,M,605,727-8428,FAIRFAX,SD,57335,M,Y,20000,0,0,0,0,8589961481
Kanad,Iwanski,F,775,741-1280,LAS VEGAS,NV,89170,M,N,5000,0,0,0,0,8589961900
Kangwoo,Mussi,F,603,786-9676,FREMONT,NH,3044,S,Y,90000,0,0,0,0,8589962020
Kanupriya,Scheen,F,219,648-7869,RICHMOND,IN,47374,S,N,45000,3.4,1000,0,0,8589962211
Kapetanakis,Mohrherr,M,307,586-6146,ARVADA,WY,82831,S,N,35000,0,0,0,0,8589962324
Katarina,Hiramatsu,F,812,230-4558,EVANSVILLE,IN,47716,S,N,100000,3.4,1000,0,0,8589963108
Katsuhiko,Diekert,F,605,964-5977,WAKONDA,SD,57073,S,N,20000,0,0,0,0,8589963335
Katsuhisa,Maldonado,M,605,328-8949,ROCKHAM,SD,57470,M,Y,40000,0,0,0,0,8589963393
Katsumasa,Daga,F,206,981-2328,GLENWOOD,WA,98619,S,N,60000,0,0,0,0,8589963462
Katsuni,Womack,M,802,261-6157,SOUTH NEWFANE,VT,5351,M,Y,95000,4.8951945,0,6600,3300,8589963490
Kavi,Ozery,M,907,534-8981,JUNEAU,AK,99850,M,Y,35000,0,0,0,0,8589963867
Kazufumi,Beerel,F,775,181-4837,BEATTY,NV,89003,S,N,95000***,0,0,0,0,8589964221
Kazufumi,Gornas,F,603,405-1933,ALTON,NH,3809,S,Y,60000,0,0,0,0,8589964226
Kazuki,Hackl,***,918,748-8334,SEMINOLE,OK,74818,M,N,20000,6.25,0,2000,0,8589964405
Keiichiro,Signore,F,702,466-5615,WASHOE VALLEY,NV,89704,S,Y,45000,0,0,0,0,8589965073
Kemal,Lotem,F,509,790-8817,TACOMA,WA,98406,S,N,65000,0,0,0,0,8589965546
Kemt,Lapidot,F,802,726-5012,NORTH CONCORD,VT,5858,M,Y,25000,3.6,0,6600,3300,8589965585
Kenneth,Stafylopatis,F,563,763-5238,NORTHWOOD,IA,50459,S,N,5000,0.935984,40,0,0,8589965914
Kensei,McCluskey,F,806,714-9567,ARLINGTON,TX,76010,S,N,20000,0,0,0,0,8589966020
Keqin,Clarke,cF,240,334-7679,CENTREVILLE,MD,21617,S,N,90000,4.75,2400,0,0,8589966267
Keshab,Felciano,M,262,164-9575,TRIPOLI,WI,54564,M,Y,40000,5.1414094,0,1400,400,8589966603
Kewen,Moshkow,M,917,571-7235,HECTOR,NY,14841,S,Y,15000,4.040549,0,0,1000,8589966843
Kieran,Saward,F,218,717-8690,ELK RIVER,MN,55330,M,Y,45000,6.6568303,0,6600,3300,8589967286
Kirk,Cui,M,939,784-46i07,SAN JUAN,PR,937,M,N,5000,0,0,0,0,8589968023
Kishor,Shephard,F,276,514-3158,FORT BLACKMORE,VA,24250,M,Y,100000,5.75,0,1800,900,8589968176
Koh,Wilm,F,843,495-9205,AIKEN,SC,29801,M,N,100000,7,0,6600,0,8589968831
Kongshi,Zongtian,F,701,664-1556,ABERCROMBIE,ND,58001,S,N,60000,2.451245,3300,0,0,8589969197
Kouzou,Simoni,M,304,251-5759,PETERSBURG,WV,26847,S,N,30000,4.4,2000,0,0,8589969835
Krisda,Goerigk,***,201,478-1138,MAPLEWOOD,NJ,7040,M,Y,30000,1.5577083,***,2000,1500,8589970077
Kriton,Meuss,M,307,730-5856,CASPER,WY,82609,M,iN,65000,0,0,0,0,8589970642
Krysia,Shreve,F,602,794-7488,PHOENIX,AZ,85077,S,Y,70000,3.8,2100,0,2300,8589970687
Kukhamay,Tedijanto,F,435,659-5297,FAIRVIEW,UT,84629,M,Y,10000,7,0,4950,2475,8589970906
Kuniaki,Lotfi,F,202,303-5739,WASHINGTON,DC,20201,S,N,70000,9,1370,0,0,8589971115
Lakshman,Behrendt,F,202,896-6306,WASHINGTON,DC,20456,S,Y,95000,9,1370,0,1370,8589972519
Lambert,Poston,F,435,179-8390,SALT LAKE CITY,UT,84141,S,N,90000,7,2475,0,0,8589972710
Lamine,Worfolk,F,267,860-8832,WEEDVILLE,PA,15868,S,Y,50000,3.07,0,0,0,8589972758
Lashon,Poehlman,M,608,334-6474,FENNIMORE,WI,53809,M,N,100000,6.183918,0,1400,0,8589973180
Leandros,Sylla,M,802,300-8446,BRATTLEBORO,VT,5303,S,zN,70000,4.397808,3300,0,0,8589973769
Lennert,Caulk,M,913,238-9573,CHAPMAN,KS,67431,S,Y,100000,6.45,2250,0,2250,8589974252
Leon,Ferhatosmanoglu,M,201,414-2138,ANDOVER,NJ,7821,S,Y,90000,2.5039582,1000,0,1500,8589974341
Lia,Nanard,M,304,197-9322,CHARLESTON,WV,25328,M,N,40000,5.1000004,0,4000,0,8589974994
Lilin,Bichler,M,701,265-4262,SAWYER,ND,58781,S,Y,40000,2.2194002,3300,0,3300,8589975838
Linas,Ramalingam,F,701,865-8297,MOFFIT,ND,58560,M,Y,35000,2.161439,0,6600,3300,8589976080
Lisandro,Dierolf,F,248,732-1530,MILLINGTON,MI,48746,S,N,25000,3.9,3100,0,0,8589976593
Llorenc,Strehlo,M,203,800-7037,SOMERS,CT,6071,S,N,80000,5,12750,0,0,8589977088
LouAnn,Slysz,M,914,432-1938,POUGHKEEPSIE,NY,12602,S,N,50000,4.243293,0,0,0,8589978079
Loyce,MacLeod,F,947,436-9585,CEDARVILLE,MI,49719,M,Y,50000,3.9,0,6200,3100,8589978307
Lucian,Stanion,M,304,562-7946,WAYNE,WV,25570,M,Y,5000,3,0,4000,2000,8589978556
Luia,Alfonsin,F,202,548-6482,PARCEL RETURN SERVICE,DC,56972,M,N,60000,9,0,2740,0,8589978869
Luise,Antoy,M,859,220-9191,GRAY HAWK,KY,40434,S,Y,5000,2.1111112,20,0,20,8589978995
Lukas,Olenski,M,308,380-2939,GRAND ISLAND,NE,68803,M,N,70000,6.84,0,206,0,8589979116
Luther,Kikuchi,F,907,937-9623,PLATINUM,AK,99651,M,Y,20000,0,0,0,0,8589979468
Lynda,Hamblin,M,973,124-2966,CHATHAM,NJ,7928,M,Y,30000,15.577083,0,2000,1500,8589979598
Maha,Suppi,F,208,830-8220,PARIS,ID,83261,M,Y,10000,4.109693,0,6600,3300,8589980608
Mahan,Escriba,F,715,171-5691,NEW HOLSTEIN,WI,53062,S,N,10000,4.620155,700,0,0,8589980672
Maharaj,Sarocky,M,207,372-5994,PORTER,ME,4068,M,Y,40000,8.5,0,5700,2850,8589980698
Mahesh,Cavalli,F,207,614-6634,SEAL COVE,ME,4674,S,Y,75000,8.5,2850,0,2850,8589980776
Maite,Wahba,F,706,457-4132,LAWRENCEVILLE,GA,30044,S,Y,55000,6,2700,0,3000,8589981037
Malay,Gerling,M,928,787-9327,WILLCOX,AZ,85644,S,Y,90000,4.11,2100,0,2300,8589981277
Malte,Wunderlin,M,225,898-5972,GREENSBURG,LA,70441,S,N,65000,6,4500,0,0,8589981487
Maneesh,Tomer,M,702,749-4999,WEST WENDOVER,V,89883,M,N,75000,0,0,0,0,8589981947
Manica,Nishanov,M,207,702-1747,SEBAGO,ME,4029,S,Y,55000,8.5,2850,0,2850,8589982103
Manica,Kabuka,M,907,585-5223,WASILLA,pAK,99623,S,N,35000,0,0,0,0,8589982106
Manica,Jayaprakash,M,971,446-5135,WALLOWA,OR,97885,S,Y,20000,9,159,0,159,8589982112
Mansur,Leder,F,704,563-8053,MERRTT,NC,28556,M,Y,100000,7.8304195,0,6600,3300,8589982695
Manuk,Bayraktar,F,570,339-8662,HANOVER,PA,17335,S,N,80000,3.07,0,0,0,8589982846
Marcello,Demphlous,M,603,554-8485,BRISTOL,NH,3222,M,N,95000,0,0,0,0,8589983096
Margita,Treloar,F,605,519-5287,LYONS,SD,57041,M,N,45000,0,0,0,0,8589983399
Margita,Meszyk,F,801,570-3625,PARAGONAH,UT,84760,S,N,75000,7,2475,0,0,8589983403
Marias,Nemetz,M,203,728-9522,NIANTIC,CT,6357,M,Y,30000,5,0,24500,0,8589983781
Marinos,Drettakis,M,939,246-6569,SAN JUAN,PR,923,M,Y,35000,0,0,0,0,8589984117
Marinus,Ochuodho,F,731,513-4220,SALE CREEK,TN,37373,M,N,10000,0,0,0,0,8589984147
Marion,Greco,F,260,271-6259,ARCOLA,IN,46704,M,Y,10000,3.4,0,2000,1000,8589984196
Marit,Martella,M,701,251-4603,ZAHL,ND,58856,S,Y,25000,2.1,3300,0,3300,8589984302
Mark,Whitely,M,920,700-9346,WEST BEND,WI,53095,S,N,30000,4.967658,700,0,0,8589984440
Martial,Muirhead,M,570,664-5125,FLEETVILLE,PA,18420,M,N,10000,3.07,0,0,0,8589985129
Maryse,Docker,M,909,609-6947,LOS ANGELES,CA,90014,S,Y,50000,9.3,87,0,272,8589985559
Masahide,Delgrossi,F,864,133-1071,SALTERS,SC,29590,M,N,45000,7,0,6600,0,8589985702
Masyuki,Carstensen,F,302,343-2219,WILMINGTON,DE,19880,M,N,60000,5.95,0,220,0,8589986529
Matthias,Castle,M,907,277-4258,SHAKTOOLIK,AK,99771,M,N,60000,0,0,0,0,8589986936
Maureen,Stanion,M,803,902-1440,GEORGETOWN,SC,29442,M,N,60000,7,0,6600,0,8589987114
Mechtild,Calmet,F,808,322-1390,TRIPLER ARMY MEDICAL CENTER,HI,96859,S,Y,30000,6.447368,1040,0,1040,8589987765
Mehryar,Nabli,M,801,524-6567,LEHI,UT,84043,M,Y,55000,7,0,4950,2475,8589988009
Mehryar,Lowry,M,212,356-7265,OTTO,NY,14766,S,N,70000,4.359146,0,0,0,8589988018
Melek,Boufaida,M,203,177-8997,SOUTH LYME,CT,6376,S,Y,95000,5,12750,0,0,8589988368
Melody,Pevac,M,228,666-9076,WIGGINS,MS,39577,S,Y,55000,5,6000,0,1500,8589988492
Meltem,Zrehen,F,207,229-1066,FRYEBURG,ME,4037,M,Y,20000,8.5,0,5700,2850,8589988521
Mema,Appelfeller,M,973,294-9220,PERTH AMBOY,NJ,8861,S,N,100000,2.6616669,1000,0,0,8589988585
Menachem,Konyala,F,608,848-3868,CUMBERLAND,WyI,54829,S,Y,85000,5.9232907,700,0,400,8589988603
Mengchu,Darche,M,864,586-6320,FORT MILL,SC,29715,,N,75000,7,0,6600,0,8589988709
Mercedes,Sadaoui,F,512,700-4355,JOAQUIN,TX,75954,S,Y,950r00,0,0,0,p0,8589988859
Meyer,Wohlfarth,F,731,556-8798,COWAN,N,37318,S,Y,90000,0,0,0,0,8589989173
Michalis,Sewelson,F,505,847-7618,SANOSTEE,NM,87461,M,N,80000,5.3,0,6600,0,8589989415
Micheline,Marchegay,F,901,374-6317,STRAWBERRY PLAINS,TN,37871,M,N,25000,0,0,0,0,8589989611
Mika,DeTurk,F,216,491-4020,COLUMBUS,OH,43221,M,Y,45000,2.039795,0,2600,1300,8589990302
Mikito,Schieder,M,919,968-4111,AYDLETT,NC,27916,M,Y,15000,6.0472026,0,6600,3300,8589990508
Mikkel,tAncourt,M,770,849-2742,BROOKFIELD,GA,31727,S,N,15000,6,2700,0,0,8589990539
Milam,Kalkbrener,M,253,448-4953,WOODINVILLE,WA,98072,M,N,65000,0,0,0,0,8589990597
Mingshien,Dan,zF,701,973-1726,DICKINSON,ND,58602,S,Y,65000,2.5092063,3300,0,3300,8589991266
Minjae,Bacher,F,970,683-3625,KEENESBURG,CO,80643,S,Y,90000,4.63,0,***,0,8589991331
Mircea,Dillet,M,307,888-1326,LARAMIE,WY,82073,M,Y,65000,0,0,0,0,8589991686
Mirco,Tchuente,F,301,301-2741,ANNAPOLIS,MD,21409,M,Y,95000,4.75,0,4800,2400,8589991718
Mirion,Louka,M,202,491-3022,WASHINGTON,DC,20064,S,Y,100000,9,1370,0,1370,8589991799
Mirta,Nourani,M,912,249-2393,WARNER ROBINS,GA,31095,S,N,55000,6,2700,0,0,8589992083
Misako,Poss,F,512,623-9879,CARTHAGE,TX,75633,S,Y,60000,0,0,0,0,8589992136
Mitsutoshi,Fortune,M,864,957-4162,SUMTER,SC,29150,M,N,50000,7,0,6600,0,8589992499
Miyeon,Segond,F,319,931-2246,NORTH LIBERTY,IA,52317,M,Y,15000,2.479763,0,80,40,8589992601
Miyoki,Zeroual,F,734,710-1961,DURAND,MI,48429,M,N,90000,3.9,0,6200,0,8589992637
Moheb,Juneja,M,843,531-6203,CORDOVA,SC,29039,S,N,5000,3.563716,3300,0,0,17179869371
Mojmir,Melvin,F,302,655-4607,HOUSTON,DE,19954,M,Y,65000,5.95,0,220,110,17179869579
Moni,Wrzyszcz,F,847,732-9984,BURLINGTON,IL,60109,S,Y,100000,3,2000,0,2000,17179869796
Moonwook,Reifer,M,202,507-7733,WASHINGTON,DC,20575,M,N,15000,5.625,0,2740,0,17179870141
Morihiro,Wood,F,509,233-2302,KALAMA,WA,98625,S,N,50000,0,0,0,0,17179870325
Motoyuki,Goffin,F,919,605-2773,RIDGECREST,NC,28770,M,N,45000,6.6765733,0,6600,0,17179870992
Moty,Babinski,M,717,895-8553,VENETIA,PA,15367,M,N,50000,3.07,0,0,0,17179871017
Mounia,Siepmann,F,763,879-3017,SARGEANT,MN,55973,M,N,75000,7.85,0,6600,0,17179871066
Mukkai,Tomia,M,712,319-7557,FARMINGTON,IA,52626,S,Y,15000,2.479763,40,0,40,17179871534
Muruganandan,Ekenberg,M,479,481-7433,HOT SPRINGS NATIONAL PARK,AR,71913,S,Y,95000,7,20,0,20,17179872041
Muzhong,Tomas,M,646,375-6166,BRIER HILL,NY,13614,S,N,45000,4.2143292,0,0,0,17179872164
Nabih,Edmondson,F,551,682-3283,SAYREVILLE,NJ,8872,S,N,25000,1.4788542,1000,0,0,17179872506
Naftaly,Doucet,F,623,406-8075,MARICOPA,AZ,85238,M,Y,55000,3.5674999,0,4200,2300,17179873003
Nagi,Glynn,F,970,610-9399,MOFFAT,CO,81143,mS,N,65000,4.63,0,0,0,17179873108
Nahla,Chepyzhov,F,256,756-3432,DOTHAN,AL,36303,M,Y,70000,5,0,3000,300,17179873201
Nakhoon,Gursoy,F,607,281-8985,NEWBURGH,NY,12550,M,Y,90000,4.475,0,0,1000,17179873442
Naoufel,Parisi,M,405,342-6435,MAUD,OK,74854,S,Y,15000,6.25,1000,0,1000,17179874091
Narutoshi,Livadas,M,636,466-9089,MC GIRK,MO,65055,S,N,55000,6,2100,0,0,17179874651
Naser,Burnard,F,907,828-7400,DEERING,AK,99736,M,N,100000,0,0,0,0,17179874697
Naveen,Even,M,308,442-4944,CLARKS,NE,68628,S,Y,10000,3.9097095,103,0,103,17179875279
Neil,Anguita,F,202,144-1974,WASHINGTON,C,20002,S,Y,5000,4.5,1370,0,1370,17179875765
Neophytos,Dan,F,312,459-3927,TABLE GROVE,IL,61482,S,gY,40000,3,2000,0,2000,17179876041
Nevenka,Bax,M,307,422-4461,KEMMERER,WY,83101,S,Y,70000,0,0,0,0,17179876215
Newton,Valmari,F,316,177-3107,OSWEGO,KS,67356,M,N,30000,6.45,0,4500,0,17179876376
Nicholas,Belt,F,918,887-5417,RUSH SPRINGS,OK,73082,S,N,20000,6.25,1000,0,0,17179876628
Nicky,Titkova,M,936,906-9573,EAGLE PASS,TX,78853,S,Y,65000,0,0,0,0,17179876719
Nicolo,Crames,F,234,491-5843,PATRIOT,OH,45658,M,Y,80000,3.2016153,0,2600,1300,17179876981
Nicolo,Paragot,F,501,581-4680,OAKLAND,AR,72661,S,N,70000,7,20,0,0,17179876993
Niki,Pohl,M,207,562-7587,WEST NEWFIELD,ME,4095,M,N,55000,8.5,0,5700,0,17179877261
Nikunja,Nogi,F,913,816-5836,MARION,KS,66861,M,Y,5000,3.5,0,4500,2250,17179877434
Nils,Adusumilli,F,907,708-7703,JUNEAU,AK,99801,M,N,10000,0,0,0,0,17179877506
Ningda,Roijakkers,F,630,703-6597,FAIRBURY,IL,61739,M,Y,65000,3,0,4000,2000,17179877606
Nipon,Majster,F,765,959-2542,SELMA,IN,47383,M,Y,85000,3.4,0,2000,1000,17179877622
Nirina,Razborov,F,502,514-7945,ISLAND CITY,KY,41338,M,Y,65000,5.4444447,0,40,20,17179877751
Nirmal,Ricardo,F,256,196-6523,TUSKEGEE INSTITUTE,AL,36088,S,Y,80000,5,1500,0,300,17179877774
Nobumitsu,Schwiegelshohn,M,360,499-3581,SEATTLE,WA,98164,S,N,95000,0,0,0,0,17179878248
Norma,Schmerr,F,605,141-4202,DELL RAPIDS,SD,57022,M,N,15000,0,0,0,0,17179878886
Olli,Gierz,F,712,532-3173,MYSTIC,IA,52574,M,N,95000,8.98,0,80,0,17179880069
Omar,Swiler,M,504,316-2872,BATON ROUGE,LA,70810,M,Y,80000,6,0,9000,1000,17179880189
Ophir,Ullman,M,630,439-3894,CAROL STREAM,IL,60125,M,Y,25000,3,0,4000,2000,17179880445
Ornan,Belyaev,F,870,552-9386,MOUNTAIN HOME,AR,72653,M,N,90000,7,0,40,0,17179880770
Ounissa,Emele,F,219,208-1679,UPLAND,IN,46989,M,Y,30000,3.4,0,2000,1000,17179881422
Ove,Scharinger,F,567,910-1703,DAYTON,OH,45418,S,N,95000,3.6995387,1300,0,0,17179881460
Ovidiu,Alves,M,831,178-1721,PATTERSON,CA,95363,M,Y,35000,7.7709284,0,174,272,17179881468
Oya,Dur,M,207,634-3026,FARMINGTON FALLS,ME,4940,S,N,65000,8.5,2850,0,0,17179881512
Paklin,Kabatianski,F,504,703-7146,THERIOT,LA,70397,M,N,85000,6,0,9000,0,17179881976
Paraic,Pierro,F,307,805-2390,SAINT STEPHENS,WY,82524,S,N,5000,0,0,0,0,17179882562
Paulo,Potharst,F,701,882-3490,BISBEE,ND,58317,S,Y,25000,2.1,3300,0,3300,17179883458
Peeter,Coluccini,F,601,935-7005,COLUMBUS,MS,39705,S,N,75000,5,6000,0,0,17179883744
Peiwei,Iorio,F,309,132-7337,POLO,IL,61064,S,Y,5000,3,2000,0,2000,17179883944
Penny,Sowizrai,F,401,625-4668,FOSTER,RI,2825,S,Y,10000,0,0,0,0,17179884138
Pete,Mutlu,M,907,210-8046,ALAKANUK,AK,99554,S,Y,5000,0,0,0,0,17179884585
Peteris,Baumker,M,276,726-7052,THORNBURG,VA,22565,M,N,45000,5.75,0,1800,0,17179884637
Petru,Benjauthrit,F,203,293-8068,STAMFORD,CT,6926,M,N,40000,5,0,24500,0,17179884818
Peyyun,Schachter,M,503,969-7849,GERVAIS,OR,97026,S,N,75000,9,159,0,0,17179884859
Phipps,Suleiman,F,360,971-4271,MCCLEARY,WA,98557,S,N,40000,0,0,0,0,17179885213
Phoebe,Paradinas,M,430,170-6001,BLOOMBURG,TX,75556,M,N,95000,0,0,0,0,17179885269
Pitro,Wahbe,F,202,273-9843,WASHINGTON,DC,20037,S,N,10000,4.5,1370,0,0,17179886312
Polen,Beau,F,803,937-7740,PINELAND,SC,29934,M,N,55000,7,0,6600,0,17179886515
Predrag,Putzolu,M,337,912-8586,NEW ORLEANS,LA,70146,M,Y,40000,6,0,9000,1000,17179887622
Puri,Demke,F,931,718-9564,CARYVILLE,TN,37714,S,Y,70000,0,0,0,0,17179888024
Pushpa,Bebjak,M,719,710-4436,LUCERNE,CO,80646,S,Y,20000,4.63,0,0,0,17179888086
Pythagoras,Tsotras,F,202,235-7157,WASHINGTON,DC,20206,S,N,70000,9,1370,0,0,17179888167
Qianhong,McKinnon,M,901,237-9253,CHATTANOOGA,TN,37419,M,Y,95000,0,0,0,0,17179888245
Qinghua,Niamir,M,843,435-2495,CHARLESTON,SC,29402,S,N,90000,7,3300,0,0,17179888358
Qinghua,Zhongzhi,M,785,330-1906,PRAIRIE VIEW,KS,67664,M,N,40000,6.45,0,4500,0,17179888363
Qingyuam,Lakoumentas,M,985,191-9362,GARDEN CITY,LA,70540,S,N,50000,6,4500,0,0,17179888516
Radharamanan,Reeve,F,713,369-3896,WEESATCHE,TX,77993,S,N,5000,0,0,0,0,17179889444
Raimo,Tsukamoto,M,440,946-6137,NEW SPRINGFIELD,OH,44443,M,Y,30000,1.5418718,0,2600,1300,17179890311
Rain,Morioka,F,505,569-1228,CONTINENTAL DIVIDE,NM,87312,S,N,15000,4.957143,3300,0,0,17179890435
Rainer,Bertelsen,F,405,440-9558,BARTLESVILLE,OK,74004,S,N,30000,6.25,1000,0,0,17179890457
Rajeev,Din,F,208,165-1819,POCATELLO,ID,83206,S,N,50000,7.8,3300,0,0,17179890739
Rajmohan,Rosendale,F,971,103-4286,PAULINA,OR,97751,M,Y,75000,9,0,318,159,17179890971
Raju,Georg,M,646,906-1972,HUDSON,NY,12534,S,Y,75000,4.3881097,0,0,1000,17179891041
Ramarao,Ireland,F,425,888-7649,LYNNWOOD,WA,98046,M,Y,5000,0,0,0,0,17179891365
Ramaswami,Trystram,F,812,450-1248,GRASS CREEK,IN,46935,S,,45000,3.4,1000,0,0,17179891435
Raminder,Niamir,F,706,226-6778,SAVANNAH,GA,31412,S,N,5000,4.4,2700,0,0,17179891564
Rance,Pelletreau,M,551,296-9815,STONE HARBOR,NJ,8247,S,Y,35000,1.6365625,1000,0,1500,17179891883
Randolph,Olagunju,M,760,124-4600,SAN JOSE,CA,95127,S,Y,60000,9.3,87,0,272,17179891969
Rangaswamy,Guvenir,F,517,560-b9596,NORTH BRANCH,MI,48461,S,Y,60000,3.9,3100,0,3100,17179892096
Raoul,Hernadi,M,308,993-1396,JULIAN,NE,68379,M,Y,80000,6.84,0,206,103,17179892247
Raoul,Szelepcsenyi,,360,450-3578,MINERAL,WA,98355,S,N,40000,0,0,0,0,17179892249
Raschid,Karcich,F,651,124-7667,WILLIAMS,MN,56686,S,Y,100000,7.85,3300,0,3300,17179892404
Raven,Capri,F,208,992-4395,BOISE,ID,83722,M,Y,75000,7.8,0,6600,3300,17179892651
Raymond,Nobauer,F,603,585-3727,MONROE,NH,3771,M,Y,80000,0,0,0,0,17179892923
Reese,Burston,F,218,885-5822,MANTORVILLE,MN,55955,M,Y,90000,7.85,0,6600,3300,17179893178
Reki,Sonenberg,M,615,970-5259,HARTFORD,TN,37753,S,Y,95000,0,0,0,0,17179893833
Renato,Millo,F,541,946-3443,KLAMATH FALLS,OR,97601,S,Y,10000,9,159,0,159,17179894078
Renaud,Orelup,M,304,411-2959,MAC ARTHUR,WV,25873,M,N,10000,3,0,4000,0,17179894128
Rhon,Mukund,M,304,524-8410,MEADOWBROOK,WV,26404,S,N,5000,3,2000,0,0,17179894658
Ria,Hamburg,M,623,325-6210,SCOTTSDALE,AZ,85250,M,N,60000,3.645,0,4200,0,17179894708
Rik,Reutenauer,F,701,107-2668,CANNON BALL,ND,58528,M,N,15000,2.1,0,6600,0,17179895124
Riverson,Kamphusmann,F,307,607-4410,HILLSDALE,WY,82060,S,N,30000,0,0,0,0,17179895369
Rix,Gabalda,M,939,798-3596,TOA ALTA,PR,954,S,N,75000,0,0,0,0,17179895425
Roderic,Rosenbohm,M,505,854-7864,SAN RAFAEL,NM,87051,M,Y,90000,5.3,0,6600,3300,17179895783
Roelof,Marwedel,F,281,287-5499,STAPLES,TX,78670,M,N,85000,0,0,0,0,17179895940
Roji,Sweeney,M,520,477-5546,PIMA,AZ,85543,M,***,50000,3.49,0,4200,2300,17179896123
Rolland,Accomazzi,F,567,745-1617,LUCAS,OH,44843,S,Y,45000,2.039795,1300,0,1300,17179896292
Rollins,Nokel,M,205,410-4470,MONTGOMERY,AL,36109,M,N,100000,5,0,3000,0,17179896295
Roman,Gesli,M,419,987-5256,SAVANNAH,OH,44874,S,N,80000,3.2016153,1300,0,0,17179896359
Rosario,Waroquier,M,808,536-5271,NAALEHU,HI,96772,S,Y,95000,8.25,1040,0,1040,17179897120
Ruihua,Picaronny,M,980,874-7952,RURAL HALL,NC,27045,M,Y,75000,7.305944,0,6600,3300,17179898103
