zip,areacode,state,fname,lname,gender,phone,city,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
57034,605,SD,Niklaus,Miyachi,M,883-1380,HUDSON,S,Y,100000,0,0,0,0,17179877325
96770,808,HI,Hatsukazu,Rapps,F,388-4885,MAUNALOA,S,Y,85000,8.25,1040,0,1040,8589938644
96770,808,HI,Roope,Nepomnjashchaja,M,167-9151,MAUNALOA,M,N,40000,8.25,0,2080,0,17179896906
937,787,RP,Sihem,Aitken,F,989-3268,SAN JUAN,S,Y,35000,0,0,0,0,17179911072
3285,603,jNH,Satyan,Vaitis,M,476-6028,THORNTON,S,N,100000,0,0,0,0,17179902836
6913,860,CT,Jereon,Plessier,F,976-8816,STAMFORD,M,Y,55000,5,***,24500,0,8589953539
6913,860,CT,Lubos,Sahidar,M,935-3832,STAMFORD,S,N,70000,5,12750,0,0,8589978457
20080,202,CD,Gady,Haberman,M,173-9039,WASHINGTON,S,Y,5000,4.5,1370,0,1370,50504
21835,301,MD,Alun,Rieh,F,210-7836,LINKWOOD,M,N,100000,4.75,0,4800,0,6190
21835,301,MD,Ran,Ciolek,F,336-1818,LINKWOOD,M,N,70000,4.75,0,4800,0,17179891766
27252,980,NC,Wilburt,Maamar,F,219-8746,GOLDSTON,M,Y,35000,6.466783,0,6600,3300,25769813688
28201,252,NC,Werther,Watanabe,M,808-5096,CHARLOTTE,S,N,55000,6.8863635,3300,0,0,25769813183
28201,252,NC,Yuejun,Guttag,F,501-3283,CHARLOTTE,M,Y,45000,6.6765733,0,6600,3300,25769824200
29905,843,SsC,Senol,Bernabeu,M,303-9725,BEAUFORT,S,N,35000,7,3300,0,0,17179903946
38346,615,TN,Tsuneyo,Ezeife,F,429-6127,IDLEWILD,S,N,20000,0,0,0,0,25769804397
38346,615,TN,Silviu,Holbrook,F,688-3100,IDLEWILD,S,N,30000,0,0,0,0,17179911237
54024,920,IW,Danel,Rajgopal,M,904-2184,SAINT CROIX FALLS,M,Y,90000,6.010166,0,1400,400,32527
57108,605,SD,Bishop,Seggelke,M,178-2809,SIOUX FALLS,M,Y,30000,0,0,0,0,19910
57108,605,SD,Fabiano,Ponomarenko,M,885-3365,SIOUX FALLS,S,Y,20000,0,0,0,0,45336
59535,406,T,Manhoi,Videira,M,833-8129,LLOYD,S,Y,25000,6.9,1900,0,1900,8589982040
71044,225,A,Aluzio,Leonidas,F,733-4536,IDA,M,Y,50000,6,0,9000,1000,6220
82081,307,WzY,Svetlana,Babayan,F,803-7946,MERIDEN,S,Y,95000,0,0,0,0,17179918467
89721,775,NV,Kestutis,Schnelling,F,302-5633,CARSON CITY,M,N,30000,0,0,0,0,8589966660
89721,775,NV,Jorn,Vasanthakumar,F,431-2862,CARSON CITY,S,N,65000,0,0,0,0,8589958472
96816,808,HI,Kyoo,Degimbe,F,598-2573,HONOLULU,M,Y,55000,8.25,0,2080,1040,8589972005
96816,808,HI,Angela,Thomassen,M,415-1373,HONOLULU,M,N,90000,8.25,0,2080,0,8449
99027,360,AW,Jayanta,Strouf,M,144-9293,OTIS ORCHARDS,M,Y,80000,0,0,0,0,8589952470
660,939,PR,Usko,Mecklenburg,M,622-7347,HORMIGUEROS,S,N,85000,0,0,0,0,25769806383
660,939,PR,Loyce,Wolin,F,595-6663,HORMIGUEROS,M,N,70000,0,0,0,0,8589978309
29506,843,SC,Cullen,Lukassen,F,746-6228,FLORENCE,M,N,65000,7,0,6600,0,31539
29506,843,SC,Antione,Sakauchi,M,326-5670,FLORENCE,M,N,85000,7,0,6600,0,9649
43407,216,HO,Jarir,Foucaut,M,804-2219,BURGOON,M,N,85000,3.36759,0,2600,0,8589951705
63466,816,O,Eliane,Cha,F,567-5498,SAINT PATRICK,S,N,10000,6,2100,0,0,41553
68658,308,NE,Ichiang,Hanawa,F,606-1122,RISING CITY,M,N,35000,6.84,0,206,0,8589946242
68658,308,NE,Anand,Colnari,M,929-1135,RISING CITY,M,Y,75000,6.84,0,206,103,7474
80644,719,CO,Annie,Dufourd,F,140-2661,KERSEY,S,N,65000,4.63,0,0,0,9241
80644,719,CO,Juana,Milicic,F,665-6300,KERSEY,S,Y,70000,4.63,0,0,0,8589959145
83617,208,D,Hamish,Messmer,M,351-4084,EMMETT,M,N,75000,7.8,0,6600,0,8589936917
96822,808,kHI,Xinhau,Velazco,M,398-3967,HONOLULU,S,Y,5000,1.9407895,1040,0,1040,25769817046
98504,253,AW,Hitohisa,Ioroi,F,703-8358,OLYMPIA,M,N,30000,0,0,0,0,8589942646
601,787,PR,Vlado,Sedobgo,M,943-9530,ADJUNTAS,M,N,60000,0,0,0,0,25769810483
601,787,PR,Ziqiang,Rouch,M,332-7188,ADJUNTAS,M,Y,95000,0,0,0,0,25769828608
4354,207,EM,Arumugam,Bathgate,M,196-9420,PALERMO,M,N,85000,8.5,0,5700,0,11890
8810,973,J,Adrianus,Anstey,M,275-7854,DAYTON,S,Y,75000,2.267396,1000,0,1500,1842
18854,570,PA,Brom,Kluners,M,167-2656,WYSOX,M,N,25000,3.07,0,0,0,22464
20503,202,DC,Golamreza,Yaru,M,720-2691,WASHINGTON,S,N,30000,9,1370,0,0,55394
20503,202,DC,Fengjie,Bhattacharjee,F,101-5847,WASHINGTON,S,N,90000,9,1370,0,0,47061
25326,304,rWV,Stacie,Pellegrinelli,F,444-6269,CHARLESTON,M,Y,50000,5.8,***,4000,2000,17179914470
28738,704,C,Shamkant,Reid,M,504-2034,HAZELWOOD,M,Y,50000,6.7814684,"",6600,3300,17179905787
29645,864,SC,Haiming,Prini,F,201-1575,GRAY COURT,S,N,20000,7,3300,0,0,8589936224
38352,901,TN,Cathleen,Handel,F,893-7560,LURAY,M,N,5000,0,0,0,0,24579
38835,228,MrS,Hirondo,Picel,F,593-6921,CORINTH,M,Y,90000,5,0,12000,1500,8589942026
39250,601,MS,Mariusz,Flege,F,595-3830,JACKSON,M,Y,55000,5,0,12000,1500,8589984360
39250,601,MS,Bianka,Razek,M,335-3406,JACKSON,S,Y,100000,5,6000,0,1500,19122
54437,262,WI,Pavani,Canon,M,298-4387,GREENWOOD,M,Y,25000,4.880782,0,1400,400,17179883524
57437,605,D,Takenao,Shimasaki,F,784-5454,EUREKA,M,Y,15000,0,0,0,0,17179920108
58035,701,NlD,Sukesh,Wavish,F,532-455,GALESBURG,M,Y,40000,2.2194002,0,6600,3300,17179916577
59255,406,MT,Ishfaq,Tekampe,M,337-3147,POPLAR,M,N,15000,6.9,0,3800,0,8589948596
59255,406,MT,Brion,Pirenne,F,303-4475,POPLAR,S,Y,80000,6.9,1900,0,1900,22387
72215,870,R,Pam,Lejter,F,863-7500,LITTLE ROCK,M,N,70000,7,0,40,0,17179882135
80210,719,OC,Shoujie,Sudkamp,F,975-1083,DENVER,S,N,70000,4.63,0,0,0,17179909349
84107,435,UT,Lulu,Cedergren,M,682-5019,SALT LAKE CITY,"",Y,45000,7,2475,0,2475,8589979158
84107,435,UT,Yanghee,Eversberg,F,859-4926,SALT LAKE CITY,M,N,30000,7,0,4950,0,25769818488
84623,435,TU,Shailendra,Sanderson,M,271-3545,CHESTER,S,Y,35000,7,2475,0,2475,17179905397
89047,775,NV,Ruven,Cui,M,632-5814,SILVERPEAK,S,Y,95000,0,0,a0,0,17179898564
89047,775,NV,Harriett,Baez,M,224-1142,SILVERPEAK,S,Y,65000,0,0,0,0,8589938284
96826,808,HI,Gabriele,Luef,F,384-6296,HONOLULU,M,N,50000,8.25,0,2080,0,50380
96826,808,HI,Yaohan,Canulette,M,424-8013,HONOLULU,M,N,15000,3.743421,0,2080,0,25769818905
97057,503,RO,Itsik,Simon,M,408-5932,SHANIKO,M,N,35000,9,0,318,0,8589949041
2886,401,IR,Gaochao,Giovini,F,479-9046,WARWICK,M,N,75000,0,0,0,0,51077
2886,401,IR,Lorenzo,Hooghiemstra,F,369-9237,WARWICK,S,N,90000,0,0,0,0,8589977685
3037,603,NH,Samaradasa,Smotroff,M,504-1520,DEERFIELD,M,Y,30000,0,0,0,0,17179900538
3037,603,NH,Aarne,Bas,F,435-7683,DEERFIELD,S,Y,55000,0,0,0,0,110
3037,603,NH,Thoshiaki,Coven,M,201-1711,DEERFIELD,M,N,20000,0,0,0,0,17179923940
38674,769,S,Akiko,Sadanandan,F,297-9272,TIPLERSVILLE,S,N,70000,5,6000,0,0,3772
49082,313,MI,TingTing,Chaudhuri,M,600-8139,QUINCY,S,N,5000,3.9,3100,0,0,17179924859
54024,920,WI,Mikael,Even,M,312-7611,SAINT CROIX FALLS,M,Y,10000,4.620155,0,1400,400,8589990319
59755,406,MT,Forman,Abb,F,264-8358,VIRGINIA CITY,S,Y,90000,6.9,1900,0,1900,48312
59755,406,MT,Carolos,Hohberg,M,265-2963,VIRGINIA CITY,vM,N,100000,6.9,0,3800,0,24004
71331,985,LA,Prodip,Giandomenico,M,560-9579,EFFIE,S,Y,75000,6,4500,0,1000,17179887892
72003,479,AR,Keikichi,Peroz,M,201-5430,ALMYRA,S,Y,50000,7,20,0,20,8589965174
72003,479,AR,Ester,Bahnasawi,F,828-4971,ALMYRA,S,Y,20000,4.9682083,20,0,20,44191
89883,702,VN,Varghese,Rado,M,797-1413,WEST WENDOVER,M,Y,20000,0,0,0,0,25769807337
3086,603,NH,Hein,Doo,F,963-6437,WILTON,M,Y,55000,0,0,0,0,8589939393
3086,603,NH,Sharat,Faour,M,108-6428,WILTON,S,N,80000,0,0,0,0,17179906161
4009,207,EM,Dong,Aldous,M,796-7763,BRIDGTON,M,N,85000,8.5,0,5700,0,37463
38676,769,MS,Baldeo,Quasthoff,F,296-1788,TUNICA,S,N,30000,5,6000,0,0,15618
38676,769,MS,Komei,McCaskill,M,834-9670,UNICA,S,N,70000,5,6000,0,0,8589969158
59756,406,uMT,Boleslaw,Yasumatsu,M,978-6833,WARM SPRINGS,S,N,65000,6.9,1900,0,0,20601
82615,307,YW,Arto,Samarapungavan,M,541-6579,SHIRLEY BASIN,M,Y,5000,0,0,0,0,11797
83011,307,WY,Jianxiu,Nabli,M,111-2535,KELLY,S,Y,60000,0,0,0,0,8589954678
83011,307,WY,Shiyu,Callan,M,569-7709,KELLY,M,Y,50000,0,0,0,0,17179908872
83011,307,WY,Shouwen,Gerasch,M,939-7722,KELLY,M,N,80000,0,0,0,0,17179909419
83524,208,tID,Elisha,Esch,F,822-1375,CULDESAC,S,Y,35000,7.8,3300,0,3300,41842
85261,520,AZ,Hyungill,Pollermann,M,134-3636,SCOTTSDALE,S,Y,40000,3.335,2100,0,2300,8589945900
85261,520,AZ,Diomidis,Schloegel,F,914-5459,SCOTTSDALE,S,Y,25000,3.1025,2010,0,2300,36480
99832,907,AK,Mimmo,Pangratz,M,206-6139,PELICAN,M,N,40000,0,0,0,0,8589990918
99832,907,AK,Gentaro,Cazalens,M,221-4539,PELICAN,S,N,85000,0,0,0,0,52118
99832,907,AK,Pil,Tavs,M,272-1343,PELICAN,S,N,60000,0,0,0,0,17179885967
981,939,PR,Feiyu,Osman,F,749-4102,CAROLINA,M,Y,30000,0,0,0,0,46721
981,939,PR,Bernando,Carriero,M,933-8507,CAROLINA,S,Y,55000,0,0,0,0,18029
4009,207,ME,Tessa,Bocquet,F,619-1339,BRIDGTON,M,Y,50000,8.5,0,5700,2850,17179922785
4009,207,ME,Anshuman,Tayara,F,541-6007,BRIDGTON,S,Y,15000,6.9580293,2850,0,2850,9511
4017,207,EM,Niamh,Tizhoosh,M,839-2268,CHEBEAGUE ISLAND,M,Y,40000,8.5,0,5700,2850,17179876529
5441,802,T,Kelly,Bari,F,499-1287,BAKERSFIELD,M,N,55000,4.099376,0,6600,0,8589965492
35298,251,LA,Lem,Bux,F,481-9339,BIRMINGHAM,S,Y,100000,5,1500,0,300,8589974115
37304,901,NT,Carolyn,Klement,M,443-2232,BAKEWELL,S,N,75000,0,0,0,0,24042
39271,601,MS,Yee,Patrick,M,426-2919,JACKSON,M,N,75000,5,0,12000,0,25769819670
39271,601,MS,Shrinivas,Tavangarian,F,743-7893,JACKSON,S,Y,55000,5,6000,0,1500,17179909631
42040,270,KY,Iko,Zfira,M,902-7929,FARMINGTON,M,Y,45000,4.333333,0,40,20,8589946634
54301,608,WI,Daigo,Mitina,M,188-4054,GREEN BAY,M,Y,40000,5.1414094,0,1400,400,32031
58779,701,ND,Jans,Tsukamoto,F,867-7836,RYDER,M,N,30000,2.1034775,0,6600,0,8589951543
58779,701,ND,Manoranjan,Choinski,F,224-2525,RYDER,S,N,70000,2.5671675,3300,0,0,8589982566
59046,406,MT,Hayo,Nandavar,M,280-4325,LAVINA,S,N,100000,6.9,1900,0,0,8589938873
59046,406,MT,Furio,Vandenbroeck,F,275-2257,LAVINA,S,Y,75000,6.9,1900,0,1900,50210
59873,406,MT,Zhilian,Diz,M,712-1069,THOMPSON FALLS,S,Y,95000,6.9,1900,0,1900,25769827748
59873,406,MT,Janjao,Bruekers,M,934-3597,THOMPSON FALLS,M,N,55000,6.9,0,3800,***,8589951497
72728,870,R,Nedo,Katsaggelos,M,987-7728,ELM SPRINGS,S,Y,6p0000,7,20,0,20,17179875653
83853,208,rID,Simmi,Etzkorn,F,106-6265,PORTHILL,S,"",70000,7.8,3300,0,0,17179911311
89721,775,NvV,Sokratis,Praeger,M,438-6390,CARSON CITY,S,Y,60000,0,0,0,0,17179912544
99789,907,AK,Remi,Grinter,F,811-9382,NUIQSUT,S,Y,20000,0,0,0,0,17179893907
99789,907,AK,Kalyanmoy,Gumm,M,822-5813,NUIQSUT,S,Y,55000,0,0,0,0,8589961619
2878,401,RI,Moira,Uejio,M,350-3042,TIVERTON,S,N,100000,0,0,0,0,17179869529
2878,401,RI,Samphel,Pruthi,M,910-7723,TIVERTON,S,N,95000,0,0,0,0,17179900801
3105,603,NH,Antonius,Gentner,M,201-6126,MANCHESTER,S,Y,85000,0,0,0,0,9914
3105,603,NH,Denzil,Cai,M,217-6855,MANCHESTER,M,Y,70000,0,0,0,0,34797
3224,603,NH,Yih,Jousselin,F,591-2141,CANTERBURY,S,Y,50000,0,0,0,0,25769820482
3224,603,NH,Pascal,Pevac,M,198-1369,CANTERBURY,S,"",90000,0,0,0,0,17179882898
20714,443,wMD,Mingsen,Sussmann,F,857-6996,NORTH BEACH,S,Y,70000,4.75,2400,0,2400,8589991202
55396,507,NM,Winky,Pleser,F,951-8666,WINTHROP,S,Y,60000,7.4572573,3300,0,3300,25769814386
58062,701,D,Maarten,Wolniewicz,F,845-1647,NOME,M,Y,45000,2.2773614,0,6600,3300,8589979760
66777,913,KS,Gladys,Blot,M,231-6304,TORONTO,S,Y,25000,5.4666667,2250,0,2250,54930
97833,503,OR,Jamshid,Kasa,"",637-2903,HAINES,M,N,95000,9,0,318,0,8589951127
97833,503,OR,Vilena,Eiron,M,635-8833,HAINES,M,N,85000,9,0,318,0,25769809117
99515,907,AK,Kish,Uckan,M,851-3020,ANCHORAGE,M,N,20000,0,0,0,0,8589968147
99515,907,AK,Chabane,Shinjo,M,973-6466,ANCHORAGE,M,N,95000,0,0,0,0,25233
981,939,R,Hisao,Piccinini,F,961-6734,CAROLINA,S,Y,20000,0,0,0,0,8589942538
3242,603,HN,Henri,Terpou,M,679-4060,HENNIKER,S,N,10000,0,0,0,0,8589940091
7970,551,NJ,Dustin,Shreiber,M,932-7251,MOUNT FREEDOM,S,Y,45000,1.7942708,1000,0,1500,39069
7970,551,NJ,Przemyslawa,Duijvestijn,F,291-3700,MOUNT FREEDOM,M,N,70000,2.1885417,0,2000,0,17179887940
19958,302,E,Doyne,Cun,M,472-3079,LEWES,S,N,55000,5.609091,110,0,0,38408
20405,202,DC,Pasqua,Weinstein,M,735-7197,WASHINGTON,M,Y,70000,9,0,2740,1370,17179882998
20405,202,DC,Satyandra,Gran,F,577-1770,WASHINGTON,S,N,95000,9,1370,0,0,17179902879
26421,304,VW,Naoko,Dagtas,F,905-5279,PULLMAN,S,Y,40000,5.1000004,2000,0,2000,17179873937
29146,803,SC,Morrie,Weusten,M,946-6492,SPRINGFIELD,S,Y,80000,7,3300,0,3300,17179870488
29146,803,SC,Swarup,Dimopoulos,F,200-8808,SPRINGFIELD,M,Y,65000,7,0,6600,3300,17179918651
36644,205,AL,Danette,Callegarin,M,659-6036,MOBILE,M,Y,75000,5,0,3000,300,32545
36644,205,AL,Joji,Broos,F,416-5372,MOBILE,S,Y,75000,5,1500,0,300,8589957530
37118,731,TN,Kendall,Nuzman,F,712-3921,MILTON,M,Y,25000,0,0,0,0,8589965647
38055,423,TN,Bernando,Inada,M,308-4805,MILLINGTON,S,Y,60000,0,0,0,0,18026
38055,423,TN,Irs''hak,Perritt,M,952-7251,MILLINGTON,M,Y,25000,0,0,0,0,8589948328
38359,901,N,Diego,Bonnette,F,142-8936,MILLEDGEVILLE,M,N,100000,0,0,0,0,35937
39161,601,MS,Delgado,Dunne,F,853-3147,SANDHILL,M,"",85000,5,0,12000,0,34491
41712,606,KY,Mandayan,Sanger,F,968-1265,ARY,S,Y,65000,5.4444447,20,0,20,8589981841
44266,419,OH,Gwenole,Boucherie,F,164-7408,RAVENNA,S,N,65000,2.7036924,1300,0,0,8589935405
57108,605,D,Toyohisa,Dolins,F,283-7655,SIOUX FALLS,M,Y,75000,0,0,0,0,17179927045
68378,308,E,Arthur,Monneau,M,852-9011,JOHNSON,S,Y,10000,3.9097095,103,0,103,11775
82630,307,YW,Sieu,Kans,F,422-9158,ARMINTO,S,N,60000,0,0,0,0,17179910840
84717,435,UT,Tsong,Futtersack,M,342-6785,BRYCE CANYON,S,Y,40000,7,2475,0,2475,25769804212
84717,435,UT,Aleksy,Chuan,F,180-7473,BRYCE CANYON,M,N,90000,7,0,4950,0,4794
88102,505,MN,Suman,Paillier,M,709-4616,CLOVIS,S,Y,20000,5.3,3300,0,3300,17179916848
89061,775,NeV,Geng,Bellatreche,M,689-8170,PAHRUMP,S,Y,65000,0,0,0,0,51882
2831,401,RI,Manjunath,Guerrieri,F,645-6847,HOPE,M,N,90000,0,0,0,0,8589982350
2831,401,RI,Wijnand,Doddapaneni,F,740-5456,HOPE,M,Y,10000,0,0,0,0,25769813615
2831,401,RI,Ostap,Gerschenfeld,F,822-6614,HOPE,S,Y,10000,0,0,0,0,17179881150
2903,401,RI,Hakan,Pajarola,M,325-9626,PROVIDENCE,S,N,100000,0,0,0,0,8589936502
2903,401,RI,Carme,Werling,F,163-4045,PROVIDENCE,S,Y,100000,0,0,0,0,23818
4350,207,E,Eduardus,Pocholle,M,922-4226,LITCHFIELD,"",N,80000,8.5,2850,0,0,39927
19905,302,DE,Francesmary,Rachid,F,522-1104,DOVER,S,Y,80000,5.95,110,0,110,48704
19905,302,DE,Kanchana,Mercankosk,M,844-6441,DOVER,S,N,100000,5.95,110,0,0,8589961969
21201,301,D,Yka,Franaszczuk,M,227-9900,BALTIMORE,M,N,35000,4.75,0,4800,0,25769821348
23005,757,fVA,Lijia,Shinomoto,M,816-8382,ASHLAND,S,Y,65000,5.75,900,0,900,8589975655
31836,912,GA,Kazutaka,Cau,F,800-5302,WOODLAND,S,Y,85000,6,2700,0,3000,8589964641
37318,931,N,Xuedong,Coury,M,891-1541,COWAN,S,N,55000,0,0,0,0,25769817499
50940,641,A,Tassadit,Pettorossi,F,406-1187,DES MOINES,M,N,5000,0.935984,0,80,0,17179921352
53816,608,WuI,Jieming,Madeira,F,874-7135,MOUNT HOPE,S,Y,20000,4.7939067,700,0,400,8589955006
55573,218,MN,Tirza,Monnard,F,950-6932,YOUNG AMERICA,M,Y,20000,5.35,0,6600,3300,17179925008
65104,816,MO,Gift,Prokopowicz,M,861-5504,JEFFERSON CITY,S,N,5000,3.75,2100,0,0,54013
65104,816,MO,Nihar,Cheiner,M,153-5575,JEFFERSON CITY,M,N,10000,6,0,4200,0,17179877212
68181,308,NuE,Fuhua,Broll,M,250-4394,OMAHA,M,N,40000,6.84,"",206,0,49697
68726,308,EN,Mercedes,Elustondo,F,321-4458,CLEARWATER,S,Y,65000,6.84,103,0,103,8589988851
68970,308,nNE,Achour,Cavallo,M,326-2978,RED CLOUD,S,N,65000,6.84,103,0,0,1082
83217,208,ID,Simson,Perng,M,731-1521,BANCROFT,M,Y,40000,7.8,0,6600,3300,17179911471
83217,208,ID,Vicenc,Muhammad,"",989-2576,BANCROFT,S,N,90000,7.8,3300,0,0,25769808579
84028,801,UT,Krystyna,Amo,"",560-4642,GARDEN CITY,M,N,30000,7,0,4950,0,8589970737
84028,801,UT,Ethel,Zielinski,M,345-5077,GARDEN CItTY,M,Y,100000,7,0,4950,2475,44341
88132,505,NM,Hodong,Faure,M,311-4629,ROGERS,M,Y,45000,5.3,0,6600,3300,8589942883
88132,505,NM,Velma,Erni,M,573-5906,ROGERS,S,Y,60000,5.3,3300,0,3300,25769807913
1815,339,MeA,Yannis,Depreitere,M,346-4430,WOBURN,S,Y,20000,5.3,3575,0,1000,25769818757
34483,561,FzL,Debin,Dolken,F,934-9720,OCALA,M,N,10000,0,0,0,0,34011
37763,615,TvN,Mizuhito,Dimakopoulos,M,205-5359,KINGSTON,M,N,5000,0,0,0,0,8589992701
38628,601,SM,Ceon,Vondran,M,694-6349,FALCON,M,Y,10000,5,0,12000,1500,25067
38663,601,SM,Gwoboa,Backes,M,259-6778,RIPLEY,M,N,30000,5,0,12000,0,8589935416
82845,307,WY,Haluk,Bernhard,F,244-2322,WYARNO,M,N,100000,0,0,0,0,8589936807
82845,307,WY,Sharat,Fritts,M,798-6860,WYARNO,M,Y,850o00,0,0,0,0,17179906144
97013,971,rOR,Kexiang,Matveev,M,567-8397,CANBY,M,N,75000,9,0,318,0,8589966866
40077,859,KY,Audris,Arizio,M,629-2132,WESTPORT,M,N,50000,4.611111,0,40,0,13816
46311,812,IN,Chuchang,Lagarias,F,714-9489,DYER,S,N,75000,3.4,1000,0,0,29008
49078,586,MI,Hannie,Kurata,F,183-5283,OTSEGO,S,N,60000,3.9,3100,0,0,8589937339
52222,319,IA,Aurelio,Tockey,M,828-4047,DEEP RIVER,S,N,95000,8.98,40,0,0,13990
53947,715,I,Yasuyoshi,Morfton,M,468-2339,MARQUETTE,M,N,40000,5.1414094,0,1400,0,25769819533
58461,701,ND,Peternela,Wittich,F,811-8946,LITCHVILLE,S,N,30000,2.1034775,3300,0,0,17179884657
58461,701,ND,Jafar,Dougherty,F,166-8941,LITCHVILLE,S,N,80000,2.68309,3300,0,0,8589950366
66782,620,KS,Piyu,Schonegge,M,281-4538,WEST MINERAL,S,Y,90000,6.45,2250,0,2250,17179886347
84717,435,TU,Loic,Dinsenmeyer,F,771-1746,BRYCE CANYON,S,N,90000,7,2475,0,0,8589977317
87027,505,NM,Shanwei,Rorvig,M,711-6329,LA JARA,S,N,65000,5.3,3300,0,0,17179905938
87027,505,NM,Evgeny,Linnell,M,258-2383,LA JARA,S,N,25000,5.3,3300,0,0,45073
99691,907,AK,Tareq,Wixon,F,220-1060,NIKOLAI,M,Y,20000,0,0,0,0,17179921237
99691,907,AK,Gopalakrishnan,Steihaug,M,196-1952,NIKOLAI,S,N,60000,0,0,0,0,55700
99801,907,oAK,Rogardt,Schachtel,F,804-9479,JUNEAU,S,N,65000,0,0,0,0,17179895965
909,787,R,Sukoya,Swartwout,F,40-5191,SAN JUAN,S,N,70000,0,0,0,0,17179916654
2801,401,I,Brajendra,Roncato,F,128-2987,ADAMSVILLE,S,N,25000,0,0,0,0,21742
5075,802,VT,Hengming,Milne,F,881-7355,THETFORD CENTER,S,Y,30000,3.6019895,3300,0,3300,8589939945
5075,802,VT,Cherif,Kingham,M,191-5816,THETFORD CENTER,S,Y,45000,3.9004214,3300,0,3300,27157
6075,203,CT,Sahrah,Linebarger,M,198-9532,STAFFORD,M,Y,25000,5,0,24500,0,17179899712
6075,203,CT,Dhabaleswar,Strout,F,196-1169,STAFFORD,S,Y,40000,5,12750,0,0,35435
20002,202,DC,Herbert,Popa,M,175-6992,WASHINGTON,S,Y,75000,9,1370,0,1370,8589940263
20002,202,DC,Chokchai,Khamiss,F,221-4550,WASHINGTON,M,N,15000,0.625,0,2740,0,28165
30677,229,GA,Kazuho,Azuma,F,333-9710,WATKINSVILLE,S,Y,15000,6,2700,0,3000,8589964397
30677,229,GA,Yoshioki,Gusella,F,355-5813,WATKINSVILLE,S,Y,20000,6,2700,0,3000,25769823005
35139,256,LA,Mani,Greve,F,715-3553,SAYRE,S,Y,35000,5,1500,0,300,8589982068
49639,231,MI,Natasa,Gitler,F,186-9424,HERSEY,S,Y,15000,3.9,3100,0,3100,17179874997
72522,870,AR,Sowmitri,Conry,M,265-7451,CHARLOTTE,M,Y,70000***,7,0,40,20,17179913791
82923,307,YW,Aamod,Click,M,281-5087,BOULDER,S,Y,80000,0,0,0,0,83
83615,208,IbD,Thea,Doszkocs,M,109-4323,DONNELLY,M,N,50000,7.8,0,6600,0,17179923236
84068,435,TU,Vinot,Malzbender,F,545-5854,PARK CITY,S,N,60000,7,2475,0,0,25769809588
85396,928,ZA,Karem,Gille,F,790-7325,BUCKEYE,M,Y,20000,3.0249999,0,4200,2300,8589962498
87022,505,NzM,Nobuyasu,Blomer,M,303-3977,ISLETA,S,Y,60000,5.3,3300,0,3300,17179878353
88220,505,M,Akichika,Mellouli,F,690-8264,CARLSBAD,S,Y,30000,5.3,3300,0,3300,3592
89061,775,NV,Jungyun,McKinnon,M,242-8236,PAHRUMP,S,N,65000,0,0,0,0,8589959912
89061,775,NV,Maylun,Rioboo,F,160-3464,PAHRUMP,S,N,25000,0,0,0,0,8589987533
653,787,PjR,Cedric,Kleiter,M,656-6050,GUANICA,S,Y,95000,0,0,0,0,24854
4649,207,ME,Takaichi,Neuburg,M,560-5153,JONESPORT,rM,Y,25000,8.5,0,5700,2850,17179919794
4649,207,ME,Colm,Amlani,M,677-1638,JONESPORT,S,N,35000,8.5,2850,0,0,30333
8348,201,J,Moktar,Gnutzmann,M,402-6054,PORT ELIZABETH,M,Y,70000,2.1885417,0,2000,1500,17179869652
20069,202,DC,Vicente,Zuiderveld,M,221-7238,WASHINGTON,S,Y,75000,9,1370,0,1370,25769808613
20069,202,DC,Yuzhong,Tarlescu,M,693-2915,WASHINGTON,S,***,20000,6.75,1370,0,1370,25769825854
26102,304,WV,Masuhiro,Binkley,M,740-8181,PARKERSBURG,S,Y,100000,6.5,2000,0,2000,8589986472
26102,304,WV,Silviu,Junker,F,954-5398,PARKERSBURG,S,Y,85000,6.5,2000,0,2000,17179911229
29641,864,SC,Patrenahalli,Thompson,F,452-8052,EASLEY,S,Y,35000,7,3300,0,3300,17179883083
29641,864,SC,Chien,Fiebach,M,669-7265,EASLEY,M,N,55000,7,0,6600,0,27490
29916,864,SC,Roni,Fuchs,M,207-8447,EARLY BRANCH,M,N,40000,7,0,6600,0,17179896760
57748,605,SD,Hayato,Boffa,F,436-3335,HOWES,S,Y,85000,0,0,0,0,8589938783
57748,605,SD,Hongjing,Birchall,M,276-5873,HOWES,S,Y,50000,0,0,0,0,8589943444
67667,913,KS,Szabolcs,Hanani,M,854-1909,SCHOENCHEN,M,N,75000,6.45,0,4500,0,17179919047
82845,307,YW,Isabella,Lafond,M,502-6379,WYARNO,M,Y,75000,0,0,0,0,8589948412
84025,435,wUT,Jack,Ruffo,M,391-8587,FARMINGTON,M,N,80000,7,0,4950,0,8589949788
99359,253,WA,Carver,Cleary,M,937-7457,STARBUCK,M,N,25000,0,0,0,0,24249
99359,253,WA,Theo,Rohrbach,F,754-6501,STARBUCK,S,Y,10500,0,0,0,0,17179923327
2054,857,MA,Zongming,Givens,M,591-8320,MILLIS,S,Y,30000,5.3,3575,0,1000,25769828966
2054,857,MA,Vanja,Wiegley,M,697-6542,MILLIS,S,Y,35000,5.3,3575,0,1000,25769807269
